distribution,observe_cost,test_type,level,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,positive_net_rate,mean_true_E_observe_net,mean_true_E_positive,mean_true_E_nonpositive,estimated_E_mean,sign_correct_rate,false_observe_rate,false_direct_rate,fallback_rate,non_global_rate,pearson_corr_estimatedE_trueE,observe_rate,policy_net_if_available,delta_vs_always_observe_if_available
original,0.05,A,level3_candidate_set_tau0.5,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.150000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.400000,0.000000
original,0.05,B,exact_signature_oracle_belief,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.150000,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.400000,0.000000
original,0.05,B,level1_cue_marginal,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.160000,0.666667,0.333333,0.000000,0.000000,1.000000,-1.000000,1.000000,0.400000,0.000000
original,0.05,B,level2_knn_jaccard_k3,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.106034,0.666667,0.333333,0.000000,0.000000,1.000000,-1.000000,1.000000,0.400000,0.000000
original,0.05,B,level3_candidate_set_tau0.5,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.150000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.400000,0.000000
original,0.05,C,exact_signature_oracle_belief,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.100000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.666667,0.416667,0.016667
original,0.05,C,level1_cue_marginal,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.131667,0.666667,0.333333,0.000000,0.000000,1.000000,0.991837,1.000000,0.400000,0.000000
original,0.05,C,level2_knn_jaccard_k3,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.133162,0.666667,0.333333,0.000000,0.000000,1.000000,0.750632,1.000000,0.400000,0.000000
original,0.05,C,level3_candidate_set_tau0.5,0.250000,0.400000,0.416667,0.016667,0.666667,0.100000,0.250000,-0.050000,0.150000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.400000,0.000000
original,0.07,A,exact_signature_oracle_belief,0.250000,0.380000,0.403333,0.023333,0.666667,0.080000,0.230000,-0.070000,0.130000,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.380000,0.000000
original,0.07,A,level1_cue_marginal,0.250000,0.380000,0.403333,0.023333,0.666667,0.080000,0.230000,-0.070000,0.125000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.688247,1.000000,0.380000,0.000000
