mode,version,seed,split_label,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage,hidden_h_probe_from_pre_surface_accuracy
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.03,A,level1,0.71613,0.7281299999999999,0.71613,0.8349271625,0.0,-0.0119999999999999,0.11879716249999994,1.0,0.47675,0.52325,0.0,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.03,A,level2,0.75103,0.7281299999999999,0.71613,0.8349271625,0.03489999999999993,0.02290000000000003,0.08389716250000001,0.5,0.41175,0.30575,0.2825,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.03,A,level3,0.71613,0.7281299999999999,0.71613,0.8349271625,0.0,-0.0119999999999999,0.11879716249999994,1.0,0.47675,0.52325,0.0,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.03,B,level1,0.6915749999999999,0.7233749999999999,0.6915749999999999,0.8277751468749999,0.0,-0.03179999999999994,0.13620014687499993,1.0,0.442375,0.557625,0.0,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.03,B,level2,0.7233749999999999,0.7233749999999999,0.6915749999999999,0.8277751468749999,0.03179999999999994,0.0,0.10440014687499999,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.03,B,level3,0.7233749999999999,0.7233749999999999,0.6915749999999999,0.8277751468749999,0.03179999999999994,0.0,0.10440014687499999,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.05,A,level1,0.7281299999999999,0.7281299999999999,0.69613,0.8253921624999999,0.03199999999999992,0.0,0.09726216249999997,0.0,0.52325,0.0,0.47675,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.05,A,level2,0.7281299999999999,0.7281299999999999,0.69613,0.8253921624999999,0.03199999999999992,0.0,0.09726216249999997,0.0,0.52325,0.0,0.47675,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.05,A,level3,0.7281299999999999,0.7281299999999999,0.69613,0.8253921624999999,0.03199999999999992,0.0,0.09726216249999997,0.0,0.52325,0.0,0.47675,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.05,B,level1,0.7233749999999999,0.7233749999999999,0.6715749999999999,0.818927646875,0.05179999999999996,0.0,0.09555264687500009,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.05,B,level2,0.7233749999999999,0.7233749999999999,0.6715749999999999,0.818927646875,0.05179999999999996,0.0,0.09555264687500009,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.05,B,level3,0.7233749999999999,0.7233749999999999,0.6715749999999999,0.818927646875,0.05179999999999996,0.0,0.09555264687500009,0.0,0.557625,0.0,0.442375,0.442375,0.0,0.61321875,0.7361875,1.0,0.597828125
mode_A_fixed_split_fresh_seeds,structured,101,fixed_split_3985,0.07,A,level1,0.7281299999999999,0.7281299999999999,0.67613,0.8158571625,0.051999999999999935,0.0,0.08772716250000001,0.0,0.52325,0.0,0.47675,0.47675,0.0,0.61321875,0.7361875,1.0,0.597828125
