seed,variant,bridge_mode,n_related_observed,structured_score,bridge_required_score,null_control_score,boundary_score,delta_vs_similarity_only,delta_vs_always_observe,gap_to_oracle,signal_strategy_count,learned_strategy_cluster_count,average_cluster_size,cluster_purity_audit,bridge_merge_success_rate,false_merge_rate,false_split_rate,overgeneralization_rate_before_update,overgeneralization_rate_after_update,boundary_failure_count,boundary_exclusion_count,confidence_drop_after_failure,average_strategy_confidence,support_case_count,failure_case_count,confidence_vs_success_correlation,null_false_discovery_rate,no_hidden_fields_in_learner_input
101,structured,with_bridge,16,0.78,0.78,0.64,0.82,0.20999999999999996,0.0,0.0,116,5,24.8,1.0,1.0,0.0,0.05,1.0,0.0,8,11,0.3667232597623089,0.7674005099212948,124,8,0.8273021876644707,0.25,True
101,null_control,with_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,no_bridge,0,0.5,0.5,0.64,0.82,0.0,-0.28,0.28,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,null_control,no_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,with_bridge,0,0.78,0.78,0.64,0.82,0.28,0.0,0.0,100,5,21.6,1.0,1.0,0.0,0.25,1.0,0.0,8,10,0.5625,0.6554381443298969,108,8,0.9035598588417257,0.5,True
207,null_control,with_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,no_bridge,1,0.5875,0.5,0.64,0.82,0.06999999999999995,-0.1925,0.1925,97,4,26.25,1.0,0.0,0.0,0.0,0.0,0.0,2,4,0.3,0.6974226804123712,105,2,0.9655133067700931,0.125,True
207,null_control,no_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
207,structured,with_bridge,1,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,101,6,18.166666666666668,1.0,1.0,0.0,0.4,1.0,0.0,8,8,0.4444444444444444,0.5890225276823214,109,8,0.9329288421365922,0.5,True
207,null_control,with_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
