distribution,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,pos_obs_rate,nonpos_obs_rate,harmful_obs_rate,n_test_objects,n_test_signatures,n_non_global_estimates,n_fallbacks,fallback_rate,mean_estimated_E,min_estimated_E,max_estimated_E,strict_beats_always_observe,material_beats_always_observe_005,material_beats_always_observe_010
counterfactual_cov0.25,0.05,A,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.130000,0.127778,0.132222,False,False,False
counterfactual_cov0.25,0.05,A,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.128500,0.112667,0.143333,False,False,False
counterfactual_cov0.25,0.05,A,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.118345,0.113495,0.124023,False,False,False
counterfactual_cov0.25,0.05,A,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.130000,0.123333,0.136667,False,False,False
counterfactual_cov0.25,0.05,B,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.132222,0.132222,0.132222,False,False,False
counterfactual_cov0.25,0.05,B,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.139000,0.136667,0.143333,False,False,False
counterfactual_cov0.25,0.05,B,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.121609,0.120000,0.124023,False,False,False
counterfactual_cov0.25,0.05,B,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.136667,0.136667,0.136667,False,False,False
counterfactual_cov0.25,0.05,C,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.126875,0.100000,0.175000,False,False,False
counterfactual_cov0.25,0.05,C,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.132472,0.120000,0.143333,False,False,False
counterfactual_cov0.25,0.05,C,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.132806,0.114894,0.146622,False,False,False
counterfactual_cov0.25,0.05,C,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.135833,0.125000,0.141667,False,False,False
counterfactual_cov0.25,0.07,A,exact_signature_oracle_belief,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.110000,0.107778,0.112222,False,False,False
counterfactual_cov0.25,0.07,A,level1_cue_marginal,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.108500,0.092667,0.123333,False,False,False
counterfactual_cov0.25,0.07,A,level2_knn_jaccard_k3,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.098345,0.093495,0.104023,False,False,False
counterfactual_cov0.25,0.07,A,level3_candidate_set_tau0.5,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.110000,0.103333,0.116667,False,False,False
counterfactual_cov0.25,0.07,B,exact_signature_oracle_belief,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.112222,0.112222,0.112222,False,False,False
counterfactual_cov0.25,0.07,B,level1_cue_marginal,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.119000,0.116667,0.123333,False,False,False
counterfactual_cov0.25,0.07,B,level2_knn_jaccard_k3,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.101609,0.100000,0.104023,False,False,False
counterfactual_cov0.25,0.07,B,level3_candidate_set_tau0.5,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.116667,0.116667,0.116667,False,False,False
counterfactual_cov0.25,0.07,C,exact_signature_oracle_belief,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.106875,0.080000,0.155000,False,False,False
counterfactual_cov0.25,0.07,C,level1_cue_marginal,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.112472,0.100000,0.123333,False,False,False
counterfactual_cov0.25,0.07,C,level2_knn_jaccard_k3,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.112806,0.094894,0.126622,False,False,False
counterfactual_cov0.25,0.07,C,level3_candidate_set_tau0.5,0.380000,0.250000,0.380000,0.403333,0.000000,0.130000,0.023333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.115833,0.105000,0.121667,False,False,False
counterfactual_cov0.50,0.01,A,exact_signature_oracle_belief,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.163333,0.158889,0.167778,False,False,False
counterfactual_cov0.50,0.01,A,level1_cue_marginal,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.172000,0.156667,0.195333,False,False,False
counterfactual_cov0.50,0.01,A,level2_knn_jaccard_k3,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.188527,0.176667,0.200000,False,False,False
counterfactual_cov0.50,0.01,A,level3_candidate_set_tau0.5,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.170000,0.163333,0.176667,False,False,False
counterfactual_cov0.50,0.01,B,exact_signature_oracle_belief,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.163333,0.158889,0.167778,False,False,False
counterfactual_cov0.50,0.01,B,level1_cue_marginal,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.164000,0.156667,0.176667,False,False,False
counterfactual_cov0.50,0.01,B,level2_knn_jaccard_k3,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.191580,0.185172,0.200000,False,False,False
counterfactual_cov0.50,0.01,B,level3_candidate_set_tau0.5,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.170000,0.163333,0.176667,False,False,False
counterfactual_cov0.50,0.01,C,exact_signature_oracle_belief,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.206875,0.090000,0.290000,False,False,False
counterfactual_cov0.50,0.01,C,level1_cue_marginal,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.188944,0.170000,0.210000,False,False,False
counterfactual_cov0.50,0.01,C,level2_knn_jaccard_k3,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.189081,0.160270,0.245319,False,False,False
counterfactual_cov0.50,0.01,C,level3_candidate_set_tau0.5,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.179167,0.173333,0.190000,False,False,False
counterfactual_cov0.50,0.03,A,exact_signature_oracle_belief,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.143333,0.138889,0.147778,False,False,False
counterfactual_cov0.50,0.03,A,level1_cue_marginal,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.152000,0.136667,0.175333,False,False,False
counterfactual_cov0.50,0.03,A,level2_knn_jaccard_k3,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.168527,0.156667,0.180000,False,False,False
counterfactual_cov0.50,0.03,A,level3_candidate_set_tau0.5,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.150000,0.143333,0.156667,False,False,False
counterfactual_cov0.50,0.03,B,exact_signature_oracle_belief,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.143333,0.138889,0.147778,False,False,False
counterfactual_cov0.50,0.03,B,level1_cue_marginal,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.144000,0.136667,0.156667,False,False,False
counterfactual_cov0.50,0.03,B,level2_knn_jaccard_k3,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.171580,0.165172,0.180000,False,False,False
counterfactual_cov0.50,0.03,B,level3_candidate_set_tau0.5,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.150000,0.143333,0.156667,False,False,False
counterfactual_cov0.50,0.03,C,exact_signature_oracle_belief,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.186875,0.070000,0.270000,False,False,False
counterfactual_cov0.50,0.03,C,level1_cue_marginal,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.168944,0.150000,0.190000,False,False,False
counterfactual_cov0.50,0.03,C,level2_knn_jaccard_k3,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.169081,0.140270,0.225319,False,False,False
counterfactual_cov0.50,0.03,C,level3_candidate_set_tau0.5,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.159167,0.153333,0.170000,False,False,False
counterfactual_cov0.50,0.05,A,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.123333,0.118889,0.127778,False,False,False
counterfactual_cov0.50,0.05,A,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.132000,0.116667,0.155333,False,False,False
counterfactual_cov0.50,0.05,A,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.148527,0.136667,0.160000,False,False,False
counterfactual_cov0.50,0.05,A,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.130000,0.123333,0.136667,False,False,False
counterfactual_cov0.50,0.05,B,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.123333,0.118889,0.127778,False,False,False
counterfactual_cov0.50,0.05,B,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.124000,0.116667,0.136667,False,False,False
counterfactual_cov0.50,0.05,B,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.151580,0.145172,0.160000,False,False,False
