version,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,fallback_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage_rate,hidden_h_probe_from_pre_surface_accuracy
structured,0.03,A,level1,0.7157640990852664,0.7269497245269094,0.7157640990852664,0.7504935679646331,0.0,-0.011185625441643032,0.034729468879366676,1.0,0.4773163930596971,0.5226836069403029,0.0,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.03,A,level2,0.7504935679646331,0.7269497245269094,0.7157640990852664,0.7504935679646331,0.034729468879366676,0.023543843437723644,0.0,0.5,0.40537607459764524,0.3086537661713289,0.2859701592310259,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.03,A,level3,0.7504935679646331,0.7269497245269094,0.7157640990852664,0.7504935679646331,0.034729468879366676,0.023543843437723644,0.0,0.5,0.40537607459764524,0.3086537661713289,0.2859701592310259,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.03,B,level1,0.691309764850905,0.7269497245269094,0.691309764850905,0.7552134781543522,0.0,-0.03563995967600442,0.06390371330344724,1.0,0.4467484752667453,0.5532515247332548,0.0,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.03,B,level2,0.7269497245269094,0.7269497245269094,0.691309764850905,0.7552134781543522,0.03563995967600442,0.0,0.028263753627442822,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.03,B,level3,0.7269497245269094,0.7269497245269094,0.691309764850905,0.7552134781543522,0.03563995967600442,0.0,0.028263753627442822,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.05,A,level1,0.7269497245269094,0.7269497245269094,0.6957640990852665,0.7404935679646332,0.03118562544164294,0.0,0.013543843437723746,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.05,A,level2,0.7269497245269094,0.7269497245269094,0.6957640990852665,0.7404935679646332,0.03118562544164294,0.0,0.013543843437723746,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.05,A,level3,0.7269497245269094,0.7269497245269094,0.6957640990852665,0.7404935679646332,0.03118562544164294,0.0,0.013543843437723746,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.05,B,level1,0.7269497245269094,0.7269497245269094,0.6713097648509051,0.7452134781543523,0.055639959676004325,0.0,0.018263753627442925,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
