metric,value
block_id,1J40b-7d
implementation_status,FAIL
primary_0.03_b_D0_test_B2_policy_net,0.42
primary_0.03_b_D0_test_B2_obs_rate,1.0
primary_0.03_b_D0_test_B2_pos_obs,1.0
primary_0.03_b_D0_test_B2_nonpos_obs,1.0
primary_0.03_b_D0_test_B2_always_obs,0.42
primary_0.03_b_D0_test_B2_oracle,0.43
primary_0.03_b_D0_test_B2_ov_feats,35
primary_0.03_b_D1_test_B1_policy_net,0.42
primary_0.03_b_D1_test_B1_obs_rate,1.0
primary_0.03_b_D1_test_B1_pos_obs,1.0
primary_0.03_b_D1_test_B1_nonpos_obs,1.0
primary_0.03_b_D1_test_B1_always_obs,0.42
primary_0.03_b_D1_test_B1_oracle,0.43
primary_0.03_b_D1_test_B1_ov_feats,52
primary_0.03_b_D1_test_B2_policy_net,0.42
primary_0.03_b_D1_test_B2_obs_rate,1.0
primary_0.03_b_D1_test_B2_pos_obs,1.0
primary_0.03_b_D1_test_B2_nonpos_obs,1.0
primary_0.03_b_D1_test_B2_always_obs,0.42
primary_0.03_b_D1_test_B2_oracle,0.43
primary_0.03_b_D1_test_B2_ov_feats,52
primary_0.03_b_D2_test_B1_policy_net,0.42
primary_0.03_b_D2_test_B1_obs_rate,1.0
primary_0.03_b_D2_test_B1_pos_obs,1.0
primary_0.03_b_D2_test_B1_nonpos_obs,1.0
primary_0.03_b_D2_test_B1_always_obs,0.42
primary_0.03_b_D2_test_B1_oracle,0.43
primary_0.03_b_D2_test_B1_ov_feats,17
primary_0.03_b_D2_test_B2_policy_net,0.42
primary_0.03_b_D2_test_B2_obs_rate,1.0
primary_0.03_b_D2_test_B2_pos_obs,1.0
primary_0.03_b_D2_test_B2_nonpos_obs,1.0
primary_0.03_b_D2_test_B2_always_obs,0.42
primary_0.03_b_D2_test_B2_oracle,0.43
primary_0.03_b_D2_test_B2_ov_feats,17
primary_0.03_b_D3_test_B1_policy_net,0.42
primary_0.03_b_D3_test_B1_obs_rate,1.0
primary_0.03_b_D3_test_B1_pos_obs,1.0
primary_0.03_b_D3_test_B1_nonpos_obs,1.0
primary_0.03_b_D3_test_B1_always_obs,0.42
primary_0.03_b_D3_test_B1_oracle,0.43
primary_0.03_b_D3_test_B1_ov_feats,50
primary_0.03_b_D3_test_B2_policy_net,0.42
primary_0.03_b_D3_test_B2_obs_rate,1.0
primary_0.03_b_D3_test_B2_pos_obs,1.0
primary_0.03_b_D3_test_B2_nonpos_obs,1.0
primary_0.03_b_D3_test_B2_always_obs,0.42
primary_0.03_b_D3_test_B2_oracle,0.43
primary_0.03_b_D3_test_B2_ov_feats,50
primary_0.03_c_D0_test_C_seed101_policy_net,0.43
primary_0.03_c_D0_test_C_seed101_obs_rate,0.6667
primary_0.03_c_D0_test_C_seed101_pos_obs,1.0
primary_0.03_c_D0_test_C_seed101_nonpos_obs,0.0
primary_0.03_c_D0_test_C_seed101_always_obs,0.42
primary_0.03_c_D0_test_C_seed101_oracle,0.43
primary_0.03_c_D0_test_C_seed101_ov_feats,35
primary_0.03_c_D0_test_C_seed103_policy_net,0.43
primary_0.03_c_D0_test_C_seed103_obs_rate,0.6667
primary_0.03_c_D0_test_C_seed103_pos_obs,1.0
primary_0.03_c_D0_test_C_seed103_nonpos_obs,0.0
primary_0.03_c_D0_test_C_seed103_always_obs,0.42
primary_0.03_c_D0_test_C_seed103_oracle,0.43
primary_0.03_c_D0_test_C_seed103_ov_feats,35
primary_0.03_c_D0_test_C_seed107_policy_net,0.43
primary_0.03_c_D0_test_C_seed107_obs_rate,0.6667
primary_0.03_c_D0_test_C_seed107_pos_obs,1.0
primary_0.03_c_D0_test_C_seed107_nonpos_obs,0.0
primary_0.03_c_D0_test_C_seed107_always_obs,0.42
primary_0.03_c_D0_test_C_seed107_oracle,0.43
primary_0.03_c_D0_test_C_seed107_ov_feats,35
primary_0.03_c_D0_test_C_seed109_policy_net,0.43
primary_0.03_c_D0_test_C_seed109_obs_rate,0.6667
primary_0.03_c_D0_test_C_seed109_pos_obs,1.0
primary_0.03_c_D0_test_C_seed109_nonpos_obs,0.0
primary_0.03_c_D0_test_C_seed109_always_obs,0.42
primary_0.03_c_D0_test_C_seed109_oracle,0.43
primary_0.03_c_D0_test_C_seed109_ov_feats,35
primary_0.03_c_D0_test_C_seed113_policy_net,0.43
primary_0.03_c_D0_test_C_seed113_obs_rate,0.6667
primary_0.03_c_D0_test_C_seed113_pos_obs,1.0
primary_0.03_c_D0_test_C_seed113_nonpos_obs,0.0
primary_0.03_c_D0_test_C_seed113_always_obs,0.42
primary_0.03_c_D0_test_C_seed113_oracle,0.43
primary_0.03_c_D0_test_C_seed113_ov_feats,35
primary_0.03_c_D1_test_C_seed101_policy_net,0.43
primary_0.03_c_D1_test_C_seed101_obs_rate,0.6667
primary_0.03_c_D1_test_C_seed101_pos_obs,1.0
primary_0.03_c_D1_test_C_seed101_nonpos_obs,0.0
primary_0.03_c_D1_test_C_seed101_always_obs,0.42
primary_0.03_c_D1_test_C_seed101_oracle,0.43
primary_0.03_c_D1_test_C_seed101_ov_feats,52
primary_0.03_c_D1_test_C_seed103_policy_net,0.43
primary_0.03_c_D1_test_C_seed103_obs_rate,0.6667
primary_0.03_c_D1_test_C_seed103_pos_obs,1.0
primary_0.03_c_D1_test_C_seed103_nonpos_obs,0.0
primary_0.03_c_D1_test_C_seed103_always_obs,0.42
primary_0.03_c_D1_test_C_seed103_oracle,0.43
primary_0.03_c_D1_test_C_seed103_ov_feats,52
primary_0.03_c_D1_test_C_seed107_policy_net,0.43
primary_0.03_c_D1_test_C_seed107_obs_rate,0.6667
primary_0.03_c_D1_test_C_seed107_pos_obs,1.0
primary_0.03_c_D1_test_C_seed107_nonpos_obs,0.0
primary_0.03_c_D1_test_C_seed107_always_obs,0.42
primary_0.03_c_D1_test_C_seed107_oracle,0.43
primary_0.03_c_D1_test_C_seed107_ov_feats,52
primary_0.03_c_D1_test_C_seed109_policy_net,0.43
primary_0.03_c_D1_test_C_seed109_obs_rate,0.6667
primary_0.03_c_D1_test_C_seed109_pos_obs,1.0
primary_0.03_c_D1_test_C_seed109_nonpos_obs,0.0
primary_0.03_c_D1_test_C_seed109_always_obs,0.42
primary_0.03_c_D1_test_C_seed109_oracle,0.43
primary_0.03_c_D1_test_C_seed109_ov_feats,52
primary_0.03_c_D1_test_C_seed113_policy_net,0.43
primary_0.03_c_D1_test_C_seed113_obs_rate,0.6667
primary_0.03_c_D1_test_C_seed113_pos_obs,1.0
primary_0.03_c_D1_test_C_seed113_nonpos_obs,0.0
primary_0.03_c_D1_test_C_seed113_always_obs,0.42
primary_0.03_c_D1_test_C_seed113_oracle,0.43
primary_0.03_c_D1_test_C_seed113_ov_feats,52
primary_0.03_c_D2_test_C_seed101_policy_net,0.43
primary_0.03_c_D2_test_C_seed101_obs_rate,0.6667
primary_0.03_c_D2_test_C_seed101_pos_obs,1.0
primary_0.03_c_D2_test_C_seed101_nonpos_obs,0.0
primary_0.03_c_D2_test_C_seed101_always_obs,0.42
primary_0.03_c_D2_test_C_seed101_oracle,0.43
primary_0.03_c_D2_test_C_seed101_ov_feats,17
primary_0.03_c_D2_test_C_seed103_policy_net,0.43
primary_0.03_c_D2_test_C_seed103_obs_rate,0.6667
primary_0.03_c_D2_test_C_seed103_pos_obs,1.0
primary_0.03_c_D2_test_C_seed103_nonpos_obs,0.0
primary_0.03_c_D2_test_C_seed103_always_obs,0.42
primary_0.03_c_D2_test_C_seed103_oracle,0.43
primary_0.03_c_D2_test_C_seed103_ov_feats,17
primary_0.03_c_D2_test_C_seed107_policy_net,0.43
primary_0.03_c_D2_test_C_seed107_obs_rate,0.6667
primary_0.03_c_D2_test_C_seed107_pos_obs,1.0
primary_0.03_c_D2_test_C_seed107_nonpos_obs,0.0
primary_0.03_c_D2_test_C_seed107_always_obs,0.42
primary_0.03_c_D2_test_C_seed107_oracle,0.43
primary_0.03_c_D2_test_C_seed107_ov_feats,17
primary_0.03_c_D2_test_C_seed109_policy_net,0.43
primary_0.03_c_D2_test_C_seed109_obs_rate,0.6667
primary_0.03_c_D2_test_C_seed109_pos_obs,1.0
primary_0.03_c_D2_test_C_seed109_nonpos_obs,0.0
primary_0.03_c_D2_test_C_seed109_always_obs,0.42
primary_0.03_c_D2_test_C_seed109_oracle,0.43
